"PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) ,,,,",,,,,,,,"ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,",,,,,,,,,
YEAR,MO,DY,HR,PRECTOTCORR,,time,temperature_2m (°C),YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,time,wind_speed_10m (km/h),,time,relative_humidity_2m (%)
2023,1,1,0,0.06,0.00006,2023-01-01T00:00,5.4,2023,1,1,0,0,2023-01-01T00:00,25.6,7.1,2023-01-01T00:00,91
2023,1,1,1,0.03,0.00003,2023-01-01T01:00,5.2,2023,1,1,1,0,2023-01-01T01:00,24.1,6.7,2023-01-01T01:00,91
2023,1,1,2,0.02,0.00002,2023-01-01T02:00,5.1,2023,1,1,2,0,2023-01-01T02:00,24.8,6.9,2023-01-01T02:00,90
2023,1,1,3,0.01,0.00001,2023-01-01T03:00,4.8,2023,1,1,3,0,2023-01-01T03:00,23.8,6.6,2023-01-01T03:00,90
2023,1,1,4,0.01,0.00001,2023-01-01T04:00,4.4,2023,1,1,4,0,2023-01-01T04:00,23.4,6.5,2023-01-01T04:00,89
2023,1,1,5,0,0,2023-01-01T05:00,3.8,2023,1,1,5,0,2023-01-01T05:00,19.1,5.3,2023-01-01T05:00,90
2023,1,1,6,0,0,2023-01-01T06:00,3.2,2023,1,1,6,0,2023-01-01T06:00,13,3.6,2023-01-01T06:00,92
2023,1,1,7,0,0,2023-01-01T07:00,2.9,2023,1,1,7,5.78,2023-01-01T07:00,10.8,3.0,2023-01-01T07:00,93
2023,1,1,8,0,0,2023-01-01T08:00,2.5,2023,1,1,8,19.15,2023-01-01T08:00,9.7,2.7,2023-01-01T08:00,94
2023,1,1,9,0,0,2023-01-01T09:00,2.4,2023,1,1,9,48.34,2023-01-01T09:00,8.6,2.4,2023-01-01T09:00,95
2023,1,1,10,0,0,2023-01-01T10:00,2.5,2023,1,1,10,68.23,2023-01-01T10:00,9,2.5,2023-01-01T10:00,95
2023,1,1,11,0,0,2023-01-01T11:00,2.5,2023,1,1,11,60.54,2023-01-01T11:00,7.6,2.1,2023-01-01T11:00,96
2023,1,1,12,0,0,2023-01-01T12:00,2.8,2023,1,1,12,36.75,2023-01-01T12:00,5.8,1.6,2023-01-01T12:00,97
2023,1,1,13,0,0,2023-01-01T13:00,2.9,2023,1,1,13,0,2023-01-01T13:00,6.1,1.7,2023-01-01T13:00,95
2023,1,1,14,0,0,2023-01-01T14:00,1.2,2023,1,1,14,0,2023-01-01T14:00,7.6,2.1,2023-01-01T14:00,95
2023,1,1,15,0,0,2023-01-01T15:00,1.5,2023,1,1,15,0,2023-01-01T15:00,8.6,2.4,2023-01-01T15:00,94
2023,1,1,16,0,0,2023-01-01T16:00,0.3,2023,1,1,16,0,2023-01-01T16:00,8.3,2.3,2023-01-01T16:00,96
2023,1,1,17,0,0,2023-01-01T17:00,-0.1,2023,1,1,17,0,2023-01-01T17:00,7.6,2.1,2023-01-01T17:00,93
2023,1,1,18,0,0,2023-01-01T18:00,-0.4,2023,1,1,18,0,2023-01-01T18:00,8.3,2.3,2023-01-01T18:00,95
2023,1,1,19,0,0,2023-01-01T19:00,-0.9,2023,1,1,19,0,2023-01-01T19:00,8.3,2.3,2023-01-01T19:00,94
2023,1,1,20,0,0,2023-01-01T20:00,-1.2,2023,1,1,20,0,2023-01-01T20:00,8.6,2.4,2023-01-01T20:00,92
2023,1,1,21,0,0,2023-01-01T21:00,-0.4,2023,1,1,21,0,2023-01-01T21:00,15.5,4.3,2023-01-01T21:00,83
2023,1,1,22,0,0,2023-01-01T22:00,-0.3,2023,1,1,22,0,2023-01-01T22:00,15.8,4.4,2023-01-01T22:00,81
2023,1,1,23,0,0,2023-01-01T23:00,-0.5,2023,1,1,23,0,2023-01-01T23:00,14.8,4.1,2023-01-01T23:00,82
2023,1,2,0,0,0,2023-01-02T00:00,-0.6,2023,1,2,0,0,2023-01-02T00:00,15.1,4.2,2023-01-02T00:00,80
2023,1,2,1,0,0,2023-01-02T01:00,-0.7,2023,1,2,1,0,2023-01-02T01:00,11.2,3.1,2023-01-02T01:00,85
2023,1,2,2,0,0,2023-01-02T02:00,-1,2023,1,2,2,0,2023-01-02T02:00,10.4,2.9,2023-01-02T02:00,88
2023,1,2,3,0,0,2023-01-02T03:00,-1.3,2023,1,2,3,0,2023-01-02T03:00,12.2,3.4,2023-01-02T03:00,90
2023,1,2,4,0,0,2023-01-02T04:00,-1.8,2023,1,2,4,0,2023-01-02T04:00,10.1,2.8,2023-01-02T04:00,90
2023,1,2,5,0,0,2023-01-02T05:00,-1.8,2023,1,2,5,0,2023-01-02T05:00,10.4,2.9,2023-01-02T05:00,91
2023,1,2,6,0,0,2023-01-02T06:00,-2,2023,1,2,6,0,2023-01-02T06:00,11.9,3.3,2023-01-02T06:00,92
2023,1,2,7,0,0,2023-01-02T07:00,-1.8,2023,1,2,7,7.62,2023-01-02T07:00,8.6,2.4,2023-01-02T07:00,91
2023,1,2,8,0,0,2023-01-02T08:00,-2.1,2023,1,2,8,38.44,2023-01-02T08:00,9.7,2.7,2023-01-02T08:00,91
2023,1,2,9,0,0,2023-01-02T09:00,-2.7,2023,1,2,9,67.13,2023-01-02T09:00,11.5,3.2,2023-01-02T09:00,90
2023,1,2,10,0,0,2023-01-02T10:00,-2.3,2023,1,2,10,80.2,2023-01-02T10:00,9,2.5,2023-01-02T10:00,88
2023,1,2,11,0,0,2023-01-02T11:00,-2.5,2023,1,2,11,49.56,2023-01-02T11:00,9,2.5,2023-01-02T11:00,88
2023,1,2,12,0,0,2023-01-02T12:00,-1.9,2023,1,2,12,28.49,2023-01-02T12:00,9,2.5,2023-01-02T12:00,84
2023,1,2,13,0,0,2023-01-02T13:00,-1.5,2023,1,2,13,0,2023-01-02T13:00,10.8,3.0,2023-01-02T13:00,81
2023,1,2,14,0,0,2023-01-02T14:00,-1,2023,1,2,14,0,2023-01-02T14:00,12.2,3.4,2023-01-02T14:00,80
2023,1,2,15,0,0,2023-01-02T15:00,-1.3,2023,1,2,15,0,2023-01-02T15:00,13,3.6,2023-01-02T15:00,82
2023,1,2,16,0.01,0.00001,2023-01-02T16:00,-0.9,2023,1,2,16,0,2023-01-02T16:00,14,3.9,2023-01-02T16:00,83
