Surface melt rate,,,,
G(h)_W/m2,Gb(n)_W/m2,Gd(h)_W/m2,IR(h)_W/m2,RH_%
0,0,0,306.98,72
0,0,0,311.56,75
0,0,0,316.14,65
0,0,0,320.72,77
34.09,0,0,325.31,78
122.13,0,11,329.89,68
252.24,6.8,100,334.47,76
358.79,0,114,339.05,75
385.22,0,144,327.8,71
532.48,0,162,324.8,67
611.24,0,113,319.4,63
541.58,0,108,315,56
507.45,0,80,311.6,51
430.34,0,63,311.4,51
305.98,0,46,308.6,52
159.98,0,29,306,52
41.2,0,17,296,54
0,0,0,288.2,59
0,0,0,291.6,66
0,0,0,293.8,68
0,0,0,284.6,69
0,0,0,290.8,71
0,0,0,296.6,63
0,0,0,295.2,68
0,0,0,290.2,69
0,0,0,290.8,71
0,0,0,289.4,69
0,0,0,292.2,69
57.66,0,0,283.4,71
182.59,0,13,290.2,72
317.19,0,49,290.2,73
437.5,0,107,293.6,72
550.37,0,146,294.6,68
592.21,0,170,300,66
604.69,0,113,299.8,64
575.09,0,148,298.2,61
518.22,15.17,212,301.8,58
413.7,0,59,303.4,53
288.01,0,102,303.8,47
151.28,0,23,304.6,45
36.95,0,13,309.6,47
0,0,0,309.6,49
0,0,0,310.4,53
0,0,0,312.2,58
0,0,0,313.8,57
0,0,0,315.6,65
0,0,0,314.4,70
0,0,0,317,69
0,0,0,312.8,73
0,0,0,315.25,77
0,0,0,316.4,80
0,0,0,313,82
60.98,0,2,312.4,81
184.03,98.95,74,310.4,78
314.12,0,36,304.6,77
427.2,0,65,310.4,74
513.48,0,100,310,70
567.99,5.35,206,306.8,67
599.48,1.71,193,312,63
566.12,0,137,309.6,59
501.74,0,56,308.4,57
409.02,0,49,307.2,55
288.98,0,42,314.6,50
157.4,0,30,318,49
40.53,0,17,323.8,47
0,0,0,328.2,45
0,0,0,330.4,48
0,0,0,328,53
0,0,0,321.4,54
0,0,0,316,58
0,0,0,312.4,62
0,0,0,312.8,62
0,0,0,312.8,66
0,0,0,310.65,69
0,0,0,310.4,72
0,0,0,310.6,75
67.24,0,2,299.8,77
187.17,0,16,310.2,77
318.55,0,69,307.8,79
439.02,7.11,152,313,76
534.37,9.83,191,310.6,71
582.8,5.3,205,312.6,63
607.12,0,144,307,59
577.46,0,132,315.2,58
509.18,0,137,317.2,58
407.8,0,83,321.6,58
282.68,247.71,164,326.2,57
149.32,90.02,104,321,55
37.57,139.55,42,318.6,54
0,0,0,314,53
0,0,0,304.6,57
0,0,0,276,61
0,0,0,283.6,66
0,0,0,279.4,69
0,0,0,279.8,72
0,0,0,274.2,82
0,0,0,287.6,85
0,0,0,286.2,88
0,0,0,306.2,88
0,0,0,309.6,89
22.26,0,6,315.6,90
56.11,0,16,316.6,89
96.19,3.13,101,318.4,89
83.59,7.01,154,319.8,88
96.77,7.78,189,320.8,88
102.88,5.25,207,302.2,87
149.71,0,116,315.2,87
150.59,0,101,303.6,85
165.16,0,71,315.4,84
137.64,0,67,314.4,84
98.63,0,61,313.4,81
56.67,0,43,309.2,80
22.06,8.36,32,308.6,81
0,0,0,303.4,81
0,0,0,308.4,83
0,0,0,273,85
0,0,0,276.8,88
0,0,0,279,90
0,0,0,271.8,91
0,0,0,297,92
0,0,0,285.2,93
0,0,0,269.8,93
0,0,0,268,92
0,0,0,273.6,93
29.39,0,3,286,93
69.91,0,36,292.6,94
114.59,12.3,117,292.8,95
148.34,267.23,199,284.8,93
180.41,151.92,256,270.8,91
176.51,114.37,285,275.2,86
195.67,9.98,237,276.4,78
195.62,0,99,258,74
182.95,1.83,178,271,66
150.25,0,57,283.8,59
112.15,0,30,296.6,57
71.53,0,19,278.6,54
32.03,8.02,32,262.6,53
0,0,0,273.8,56
0,0,0,244.4,61
0,0,0,226.2,71
0,0,0,230.6,80
0,0,0,236.8,84
0,0,0,260.8,86
0,0,0,253.6,87
0,0,0,264.8,88
0,0,0,240.6,88
0,0,0,240,90
0,0,0,243.4,88
76.02,0,4,247.6,87
197.17,0,19,259.6,87
331.15,0,73,270.2,86
443.68,0,133,298.2,81
533.31,7.61,197,307.4,75
593.48,1.72,191,308.2,67
623.98,0,159,314.2,60
593.04,0,155,318.2,54
531.71,0,166,320.6,49
429.01,0,97,317.6,46
307.53,0,61,320.6,38
164.5,0,38,323.4,34
50.64,7.72,36,324,34
0,0,0,322,46
0,0,0,323.6,54
0,0,0,320,60
0,0,0,318.6,67
0,0,0,319.6,71
0,0,0,318.8,76
0,0,0,316.2,80
0,0,0,308.4,83
0,0,0,311.45,83
0,0,0,312.6,82
7.54,0,0,308.4,83
71.77,0,4,307,85
204.23,0,19,302.6,86
319.9,0,84,298.2,86
427.1,6.73,159,313.2,81
522.4,22.59,223,308.4,75
601.41,40.82,267,314.2,66
616.97,6.54,227,317.8,60
592.71,11.64,239,314.6,52
531.21,308.46,259,304.6,51
435.97,610.77,150,289.8,49
310.12,378.74,156,297.4,47
171.79,284.11,109,292.8,44
56.16,275.11,47,275.6,45
0,0,0,255,46
0,0,0,254,47
0,0,0,256.4,52
0,0,0,254.4,54
0,0,0,256,56
0,0,0,261.4,74
0,0,0,255,75
0,0,0,258.2,76
0,0,0,259.8,81
0,0,0,256.8,78
7.8,0,0,261.2,81
74.3,0,4,254.8,82
197.2,0,56,254.4,80
327.11,0,64,265.2,82
