Tsi,Tso
Tsi_C,Tso_C
-1.211546757459600E-35,-4.223810094076230E-01
-1.349123566898960E-29,-7.159587822057130E-01
-4.325686708758890E-26,-9.608849141002140E-01
-1.230188467298040E-23,-1.149470980842870E+00
-9.227675951463010E-22,-1.188722394905870E+00
-2.975722527089370E-20,-8.741512130823680E-01
-5.358803781611930E-19,-1.628647123931520E-01
-6.302125064718470E-18,7.397102054104520E-01
-5.355011723239650E-17,1.518640409515300E+00
-3.522871144649170E-16,2.786654222601350E+00
-1.884967259653990E-15,4.073563094662700E+00
-8.507032450537380E-15,4.726310493268200E+00
-3.328866310701380E-14,5.144915516697330E+00
-1.153834439953700E-13,5.186059145815670E+00
-3.602902258541690E-13,4.800369925077320E+00
-1.027323007447590E-12,4.103160334754050E+00
-2.704539176710820E-12,3.350846661365820E+00
-6.633642467363830E-12,2.757152024348410E+00
-1.527436566203090E-11,2.325346966677530E+00
-3.322634644227830E-11,1.907061666426730E+00
-6.865082129926740E-11,1.597778671460720E+00
-1.353463533566610E-10,1.290792526558730E+00
-2.556221367043280E-10,9.798628711821170E-01
-4.640683465370640E-10,7.073885349733800E-01
-8.122357925293010E-10,4.440257341696980E-01
-1.374100261248310E-09,1.968566867495710E-01
-2.251999185961060E-09,-4.333401236938620E-02
-3.582495373239060E-09,-2.568220066259260E-01
-5.541357847839580E-09,-2.596091160992010E-01
-8.346574154671020E-09,1.032670915091340E-01
-1.225804808426840E-08,7.058969201834740E-01
-1.757242122373210E-08,1.511259014174420E+00
-2.461131516787990E-08,2.524135767177470E+00
-3.370124908567860E-08,3.514071766555850E+00
-4.514356316024020E-08,4.363097223807650E+00
-5.917288151183320E-08,4.967925387886480E+00
-7.590297740154760E-08,5.401311746739660E+00
-9.525934709145460E-08,5.504028051177410E+00
-1.168983354930040E-07,5.128797742321670E+00
-1.401132578262560E-07,4.430274797484720E+00
-1.637285928525960E-07,3.568906244155240E+00
-1.859839480640920E-07,2.893799295179560E+00
-2.044100785167770E-07,2.364203158913340E+00
-2.156997437375070E-07,1.931481446761560E+00
-2.155765800692130E-07,1.548796172286140E+00
-1.986654230559330E-07,1.212432333951030E+00
-1.583676168025940E-07,9.026253923694910E-01
-8.674478333179000E-08,6.578652239359720E-01
2.558570766554750E-08,4.474209364135150E-01
1.895407224345720E-07,1.961305310875520E-01
4.176444922912320E-07,-3.932655622515290E-02
7.240832360867300E-07,-2.802910282314090E-01
1.124740360697870E-06,-2.677043024410250E-01
1.637212099551010E-06,1.642244610390150E-01
2.280804215925100E-06,9.244979503941340E-01
3.076511108320730E-06,1.820916986995780E+00
4.046979265107150E-06,2.829537002956620E+00
5.216457487484880E-06,3.774748365589970E+00
6.610736606133190E-06,4.668760423448660E+00
8.257081542645190E-06,5.383411899588120E+00
1.018415851015600E-05,5.667217059890130E+00
1.242195991960020E-05,5.600391919997200E+00
1.500172918150990E-05,5.170190058598620E+00
1.795588710015360E-05,4.471427326260700E+00
2.131796098553260E-05,3.621182048911710E+00
2.512251700118540E-05,2.835580607862440E+00
2.940509566445730E-05,2.296994891357670E+00
