Temp_C,Air_Vel_m/s_10m,Prec_m/h,Glo_Sol_Ir_W/m2,RH_%
0.2,6.0,0.0,0.0,72.0
0.1,6.111111111111111,1e-05,0.0,75.0
-0.1,6.499999999999999,1e-05,0.0,65.0
-0.2,6.499999999999999,1e-05,0.0,77.0
-0.4,7.0,0.0,34.09,78.0
-0.6,7.0,0.0,122.13,68.0
-0.9,6.888888888888889,0.0,252.24,76.0
-1.1,7.0,0.0,358.79,75.0
-0.4,6.805555555555555,0.0,385.22,71.0
0.1,7.0,0.0,532.48,67.0
0.7,7.0,0.0,611.24,63.0
1.4,6.805555555555555,0.0,541.58,56.0
2.2,6.499999999999999,0.0,507.45,51.0
2.5,6.194444444444445,0.0,430.34,51.0
2.7,5.888888888888888,0.0,305.98,52.0
3.2,5.611111111111111,0.0,159.98,52.0
3.8,4.388888888888889,0.0,41.2,54.0
3.7,3.6944444444444446,0.0,0.0,59.0
3.5,3.8055555555555554,0.0,0.0,66.0
2.8,4.805555555555555,0.0,0.0,68.0
2.3,4.0,1e-05,0.0,69.0
1.8,4.5,0.0,0.0,71.0
1.5,5.388888888888888,0.0,0.0,63.0
1.2,5.5,0.0,0.0,68.0
0.9,5.888888888888888,0.0,0.0,69.0
0.3,5.5,0.0,0.0,71.0
-0.2,5.388888888888888,0.0,0.0,69.0
-0.6,5.111111111111111,0.0,0.0,69.0
-0.9,5.111111111111111,0.0,57.66,71.0
-1.2,4.611111111111112,0.0,182.59,72.0
-1.4,4.194444444444445,0.0,317.19,73.0
-0.9,4.194444444444445,0.0,437.5,72.0
0.2,4.305555555555555,0.0,550.37,68.0
1.1,4.611111111111112,0.0,592.21,66.0
1.9,4.694444444444444,0.0,604.69,64.0
2.6,4.694444444444444,0.0,575.09,61.0
3.1,5.194444444444444,0.0,518.22,58.0
3.4,5.805555555555555,0.0,413.7,53.0
3.2,5.611111111111111,0.0,288.01,47.0
3.2,5.611111111111111,0.0,151.28,45.0
3.1,5.611111111111111,0.0,36.95,47.0
3.0,5.111111111111111,0.0,0.0,49.0
2.5,5.388888888888888,1e-05,0.0,53.0
2.2,5.805555555555555,1e-05,0.0,58.0
2.0,6.611111111111111,0.0,0.0,57.0
1.6,6.694444444444445,0.0,0.0,65.0
0.8,6.0,0.0,0.0,70.0
0.6,5.694444444444445,0.0,0.0,69.0
0.6,5.888888888888888,0.0,0.0,73.0
-0.1,5.888888888888888,0.0,0.0,77.0
-0.6,5.611111111111111,0.0,0.0,80.0
-0.9,5.888888888888888,0.0,0.0,82.0
-1.1,6.111111111111111,0.0,60.98,81.0
-1.4,6.305555555555555,0.0,184.03,78.0
-1.6,6.305555555555555,0.0,314.12,77.0
-1.4,5.694444444444445,0.0,427.2,74.0
-1.1,6.0,0.0,513.48,70.0
-0.6,5.888888888888888,0.0,567.99,67.0
0.1,6.0,0.0,599.48,63.0
